# 42549,-0.36694,0.35251763,0.41608346,0.8705007
28304	0.240027	0.60300946	Fayetteville, NC
62941	0.09689798	0.6239891	Grand Chain, IL
64834	0.01989493	0.6193979	Carl Junction, MO
74755	0.012638708	0.5656502	Rufe, OK
77076	0.009350345	0.49077427	Houston, TX
67074	-0.009668686	0.62830245	Leon, KS
68360	-0.012652225	0.6858636	Garland, NE
84771	-0.23890461	0.6436521	Saint George, UT
86030	-0.20336156	0.61625576	Hotevilla, AZ
87029	-0.15421642	0.61361384	Lindrith, NM
88550	-0.15200403	0.53112173	El Paso, TX
89070	-0.26391843	0.62371564	Indian Springs, NV
90023	-0.31585607	0.60081923	Los Angeles, CA
78749	-0.027981935	0.49726558	Austin, TX
92706	-0.3124038	0.5953585	Santa Ana, CA
97490	-0.34077972	0.78931224	Walton, OR
97371	-0.3309415	0.80389917	Rickreall, OR
93613	-0.3211204	0.6567426	Clovis, CA
93652	-0.32826144	0.6506301	Raisin, CA
58344	-0.027485108	0.8097323	Lakota, ND
58377	-0.033577915	0.8178165	Starkweather, ND
61628	0.08229739	0.68486583	Peoria, IL
61733	0.08756529	0.68296146	Deer Creek, IL
61771	0.08992433	0.68530226	Secor, IL
68825	-0.051431984	0.69279706	Callaway, NE
70494	0.08326731	0.5032077	Ponchatoula, LA
71039	0.039618813	0.5363201	Heflin, LA
71444	0.043108217	0.5134659	Lacamp, LA
78026	-0.03907609	0.47375214	Jourdanton, TX
78413	-0.021756433	0.45308256	Corpus Christi, TX
67137	-0.0030549967	0.6275872	Severy, KS
67738	-0.062348254	0.6537013	Grinnell, KS
56655	0.021351365	0.7914686	Longville, MN
57794	-0.0806225	0.7269286	Wounded Knee, SD
58224	-0.02298978	0.812261	Dahlen, ND
62902	0.08989618	0.6326612	Carbondale, IL
72212	0.051049706	0.57810175	Little Rock, AR
72368	0.070942745	0.5793911	Moro, AR
80906	-0.1187258	0.6532608	Colorado Springs, CO
81526	-0.16543958	0.6639875	Palisade, CO
75217	-0.009864731	0.5409384	Dallas, TX
75661	0.026751801	0.5402057	Karnack, TX
75752	0.0031510228	0.5321572	Winona, TX
84171	-0.20782237	0.69823873	Salt Lake City, UT
84947	-0.21025103	0.65811896	Lyman, UT
85301	-0.23257679	0.5750034	Glendale, AZ
90021	-0.31638226	0.6010579	Los Angeles, CA
93435	-0.3484741	0.63605964	Harmony, CA
93745	-0.32409063	0.65222037	Fresno, CA
04854	0.33199567	0.7878295	Owls Head, ME
06883	0.29190454	0.7253684	Weston, CT
07004	0.2815828	0.7168139	Fairfield, NJ
02454	0.31353146	0.7515596	Waltham, MA
53086	0.09742521	0.73159957	Slinger, WI
53268	0.10251543	0.72684324	Milwaukee, WI
55420	0.033642963	0.75448275	Minneapolis, MN
55919	0.05917839	0.7349163	Brownsville, MN
55982	0.039156538	0.73682714	Waltham, MN
41332	0.17199965	0.6416805	Hazel Green, KY
43119	0.16965163	0.6794536	Galloway, OH
43467	0.16239217	0.70167565	West Millgrove, OH
37862	0.17351589	0.60670495	Sevierville, TN
39148	0.08838885	0.53203905	Piney Woods, MS
20604	0.25551116	0.66843045	Waldorf, MD
21521	0.22522978	0.68103933	Barton, MD
22120	0.25032818	0.67318106	Merrifield, VA
24058	0.21116027	0.6366695	Belspring, VA
53197	0.09486822	0.7179071	Walworth, WI
54447	0.06481524	0.7599846	Lublin, WI
55090	0.037467808	0.7583883	Willernie, MN
49263	0.15145022	0.7164539	Norvell, MI
56554	-0.0013150934	0.78928185	Lake Park, MN
57349	-0.019513221	0.7399347	Howard, SD
57570	-0.06206066	0.72748935	Rosebud, SD
51104	-0.0051499214	0.71345735	Sioux City, IA
30901	0.20210598	0.5688211	Augusta, GA
33534	0.21041405	0.47063994	Gibsonton, FL
37375	0.1423953	0.591926	Sewanee, TN
39115	0.07841651	0.5493808	Midnight, MS
39401	0.099791594	0.51923406	Hattiesburg, MS
40010	0.1426657	0.64818466	Buckner, KY
40366	0.1660854	0.6460395	Preston, KY
45113	0.1601338	0.66855764	Clarksville, OH
46952	0.13556854	0.6866554	Marion, IN
35019	0.1337641	0.57509387	Baileyton, AL
36310	0.15940382	0.5302603	Abbeville, AL
28368	0.23713192	0.60826635	Olivia, NC
28631	0.20159131	0.62387145	Grassy Creek, NC
28702	0.17456	0.599622	Almond, NC
25617	0.19312046	0.64354515	Davin, WV
70355	0.08390454	0.48990035	Gheens, LA
12483	0.2768083	0.7298814	Spring Glen, NY
02857	0.3111915	0.7415297	North Scituate, RI
04266	0.31643757	0.7887244	North Turner, ME
04742	0.33286822	0.83743036	Fort Fairfield, ME
05650	0.2899319	0.78252304	East Calais, VT
06813	0.29164007	0.72697747	Danbury, CT
15780	0.22051418	0.704906	Valier, PA
59034	-0.14143907	0.77913034	Hardin, MT
